Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Socrates,CAM,89,Brazil,Icons,Icons,82,88,88,88,46,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steven Gerrard,CM,89,England,Icons,Icons,80,86,88,84,75,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gheorghe Hagi,CAM,89,Romania,Icons,Icons,85,87,89,89,40,65,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Laudrup,LW,89,Denmark,Icons,Icons,82,77,89,90,36,62,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pavel Nedved,LM,89,Czech Republic,Icons,Icons,88,86,85,88,52,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paul Scholes,CM,89,England,Icons,Icons,71,86,89,81,64,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gennaro Gattuso,CDM,89,Italy,Icons,Icons,73,65,72,73,91,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Cruyff,CF,89,Netherlands,Icons,Icons,92,87,85,92,40,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ronaldinho,CAM,89,Brazil,Icons,Icons,80,85,88,90,38,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Baggio,CF,89,Italy,Icons,Icons,82,83,90,90,41,61,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eusebio,CF,89,Portugal,Icons,Icons,95,91,82,90,43,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Van Basten ,ST,89,Netherlands,Icons,Icons,83,93,72,86,35,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miroslav Klose,ST,89,Germany,Icons,Icons,83,87,75,81,42,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gary Lineker,ST,89,England,Icons,Icons,89,90,70,84,38,74,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alan Shearer,ST,89,England,Icons,Icons,84,90,75,78,48,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrij Shevchenko,ST,88,Ukraine,Icons,Icons,84,89,73,85,35,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Kluivert,ST,88,Netherlands,Icons,Icons,86,84,79,82,39,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul,CF,88,Spain,Icons,Icons,86,86,78,88,45,72,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,George Best,RW,88,Northern Ireland,Icons,Icons,91,88,81,92,59,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidetoshi Nakata,CAM,88,Japan,Icons,Icons,85,84,86,87,62,65,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rio Ferdinand,CB,88,England,Icons,Icons,80,48,65,84,89,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javier Zanetti,RB,88,Argentina,Icons,Icons,83,61,85,82,87,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jens Lehmann,GK,88,Germany,Icons,Icons,88,87,83,87,59,86,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edinson Cavani ,ST,88,Uruguay,Paris,Ligue 1,75,86,72,79,55,83,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raheem Sterling,RW,88,England,Manchester City,EPL,93,79,78,89,45,57,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Christian Eriksen,CAM,88,Denmark,Spurs,EPL,73,81,90,84,53,63,,,,,,,5,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paul Pogba,CM,88,France,Manchester United,EPL,74,81,86,85,66,86,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Samir Handanovic,GK,88,Slovenia,Inter,Serie A,88,85,69,89,53,89,,,,,----------------------,----------------------,2,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hugo Lloris,GK,88,France,Spurs,EPL,89,82,68,91,65,84,,,,,----------------------,----------------------,1,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66,000",Ronald Koeman,CB / CDM,88,Netherlands,Icons,Icons,77,86,86,79,87,83,56,"5'11""",,Right,High,Medium,3,3,,Icon,21/03/1963,75,78,75,80,97,92,81,95,78,85,95,85,95,92,70,68,89,84,,,89,82,84,89,,86,82,83,85,,,,
,Andrea Pirlo,CM,88,Italy,Icons,Icons,70,79,91,90,66,64,,,,,,,,,,Icon,,72,68,82,77,78,81,71,88,93,86,93,93,92,91,80,75,91,93,,,72,49,75,60,,54,77,64,51,,,,
,Toni Kroos,CM,88,Germany,Real Madrid,La Liga Santander,45,80,90,81,70,69,,,,,,,5,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sadio Mane,LW,88,Senegal,Liverpool,EPL,94,83,77,88,44,74,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manuel Neuer,GK,88,Germany,FC Bayern,Bundesliga,87,87,91,87,56,85,,,,,----------------------,----------------------,4,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gerrard Pique,CB,88,Spain,FC Barcelona,La Liga Santander,56,61,72,69,88,80,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre-Emerick Aubameyang,ST,88,Gabon,Arsenal,EPL,94,85,75,80,37,69,,,,,,,4,4,Yes,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thibaut Courtois,GK,88,Belgium,Real Madrid,La Liga Santander,85,89,72,87,48,85,,,,,----------------------,----------------------,2,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paulo Dybala,CAM,88,Argentina,Piemonte Calcio,Serie A,83,82,84,90,43,64,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Godin,CB,88,Uruguay,Inter,Serie A,60,48,64,63,89,83,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,David Silva,CAM,88,Spain,Manchester City,EPL,65,74,88,89,52,57,,,,,,,2,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ederson,GK,88,Brazil,Manchester City,EPL,86,82,93,88,64,86,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Reus,CAM,88,Germany,Dortmund,Bundesliga,85,88,84,87,45,66,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paulo Maldini,LB,88,Italy,Icons,Icons,87,54,73,65,90,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Franco Baresi,CB,88,Italy,Icons,Icons,71,47,70,72,89,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Nesta ,CB,88,Italy,Icons,Icons,70,40,63,65,90,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcel Desailly,CDM,88,France,Icons,Icons,83,54,69,67,88,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Carlos,LB,88,Brazil,Icons,Icons,90,81,86,79,83,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lothar Matthaus,CB,88,Germany,Icons,Icons,82,82,87,77,90,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Vieira,CM,88,France,Icons,Icons,85,75,80,84,86,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Clarence Seedorf,CM,88,Netherlands,Icons,Icons,82,85,87,86,70,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rui Costa,CAM,88,Portugal,Icons,Icons,82,80,87,86,47,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Lampard,CM,88,England,Icons,Icons,66,88,87,83,70,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roy Keane,CM,88,Republic Of Ireland,Icons,Icons,74,72,84,78,85,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jari Litmanen,CAM,88,Finland,Icons,Icons,83,89,81,83,33,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marc Overmars,LW,88,Netherlands,Icons,Icons,95,81,80,88,44,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emmanuel Petit,CDM,88,France,Icons,Icons,75,77,81,77,86,88,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Robert Pires,LM,88,France,Icons,Icons,88,80,86,86,40,62,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Sebastian Veron,CM,88,Argentina,Icons,Icons,74,83,88,83,75,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Rijkaard,CB,88,Netherlands,Icons,Icons,78,73,79,78,88,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Luis Figo,CAM,88,Portugal,Icons,Icons,88,84,87,88,42,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Owen,ST,88,England,Icons,Icons,91,86,66,87,31,62,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jay-Jay Okocha,RM,87,Nigeria,Icons,Icons,83,79,84,91,41,58,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Claude Makelele,CDM,87,France,Icons,Icons,78,47,77,77,86,85,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deco,CAM,87,Portugal,Icons,Icons,80,77,87,87,45,63,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ricardo Kaka,CAM,87,Brazil,Icons,Icons,88,80,83,90,41,67,,,,,,,,,,Icon,,75,78,75,80,97,92,81,95,78,85,95,85,95,92,70,68,89,84,77,85,89,82,84,89,87,86,82,83,85,,,,
,Karim Benzema,CF,87,France,Real Madrid,La Liga Santander,76,82,80,86,39,77,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jordi Alba,LB,87,Spain,FC Barcelona,La Liga Santander,90,69,81,83,79,73,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernandinho,CDM,87,Brazil,Manchester City,EPL,66,74,79,79,84,79,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Wright,ST,87,England,Icons,Icons,85,89,69,82,40,75,,175 cm,,Right,Medium,Medium,4,3,,Icon,3.11.1963,84,86,91,91,89,86,86,88,75,56,66,76,64,66,81,77,88,86,78,88,36,85,32,39,34,75,85,72,68,,,,
,John Barnes,LW,87,England,Icons,Icons,88,83,82,87,40,82,,,,,,,,,,Icon,,87,89,85,84,84,84,81,71,84,84,81,83,75,78,83,76,83,87,90,87,29,68,42,40,31,,,,,,,,
,Michael Essien,CDM / CM,87,Ghana,Icons,Icons,77,71,80,80,86,85,36,"177 cm 5'10""",,Right,High,High,4,3,,Icon,3.12.1982,79,76,74,61,84,82,75,64,77,70,55,90,86,65,74,80,80,86,77,83,89,71,88,88,87,79,83,86,86,,,,
,Josep Guardiola,CDM,87,Spain,Icons,Icons,78,65,82,79,85,78,,180 cm,,Right,Medium,High,3,3,,Icon,18.1.1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gianluca Zambrotta,LB,87,Italy,Icons,Icons,87,70,82,82,86,85,,"181 cm / 5'11""",,Right,High,Medium,5,4,,Icon,19.2.1977,85,88,79,60,79,79,69,71,79,88,59,84,80,81,71,71,82,88,81,84,86,78,84,89,87,78,86,83,88,,,,
,Kenny Dalglish,ST,87,Scotland,Icons,Icons,87,88,74,88,40,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ian Rush,ST,87,Wales,Icons,Icons,86,88,70,83,41,79,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hugo Sanchez,ST,87,Mexico,Icons,Icons,88,88,78,85,43,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Didier Drogba,ST,87,Ivory Coast,Icons,Icons,88,87,71,80,43,86,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carlos Alberto Torres,CB,87,Brazil,Icons,Icons,82,62,80,80,88,83,75,"180 cm / 5'11""",,Right,Medium,Medium,4,3,,Icon,17.7.1944,81,82,82,54,77,58,44,82,88,81,35,87,68,66,82,70,86,83,78,88,91,88,90,86,84,82,81,88,75,,,,
,Heung Min Son,CF,87,Korea Republic,Spurs,EPL,88,86,80,87,42,68,,,,,,,5,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mats Hummels,CB,87,Germany,Dortmund,Bundesliga,51,58,76,73,89,76,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thiago,CM,87,Spain,FC Bayern,Bundesliga,69,74,85,90,69,63,,,,,,,3,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bernardo Silva,RW,87,Portugal,Manchester City,EPL,81,76,83,92,51,67,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toby Alderweireld,CB,87,Belgium,Spurs,EPL,64,55,72,67,88,79,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thiago Silva,CB,87,Brazil,Paris,Ligue 1,62,54,72,73,87,78,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dries Mertens,CF,87,Belgium,Napoli,Serie A,88,83,80,90,35,55,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aymeric Laporte,CB,87,France,Manchester City,EPL,64,50,71,69,88,82,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan Vertonghen,CB,87,Belgium,Spurs,EPL,63,63,74,73,87,79,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lorenzo Insigne,CF,87,Italy,Napoli,Serie A,89,79,85,91,35,47,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Casemiro,CDM,87,Brazil,Real Madrid,La Liga Santander,62,72,75,72,85,89,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Keylor Navas,GK,87,Costa Rica,Paris,Ligue 1,90,81,75,90,54,82,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edwin Van Der Sar,GK,87,Netherlands,Icons,Icons,86,83,84,88,52,86,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fabio Cannavaro,CB,87,Italy,Icons,Icons,82,42,60,68,90,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bobby Moore,CB,87,England,Icons,Icons,70,60,78,73,90,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javier Zanetti,LB,87,Argentina,Icons,Icons,88,59,82,80,83,80,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcel Desailly,CB,87,France,Icons,Icons,84,47,61,61,85,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sol Campbell,CB,87,England,Icons,Icons,82,44,58,55,87,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ryan Giggs,LM,87,Wales,Icons,Icons,91,78,84,87,40,60,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Socrates,CAM,87,Brazil,Icons,Icons,80,86,87,87,47,82,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paul Scholes,CM,87,England,Icons,Icons,68,83,90,78,66,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gennaro Gattuso,CDM,87,Italy,Icons,Icons,74,62,68,70,87,90,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thierry Henry,LW,87,Henry,Icons,Icons,93,82,79,87,43,68,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rivaldo,CAM,87,Brazil,Icons,Icons,86,87,85,88,42,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dennis Bergkamp,CF,87,Netherlands,Icons,Icons,76,85,85,87,39,73,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alessandro Del Piero,CF,87,Italy,Icons,Icons,88,88,84,89,40,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emilio Butragueno,ST,87,Spain,Icons,Icons,90,86,75,89,40,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miroslav Klose,ST,87,Germany,Icons,Icons,77,85,73,78,41,70,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gary Lineker,ST,87,England,Icons,Icons,84,88,70,81,40,75,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alan Shearer,ST,87,England,Icons,Icons,76,88,76,76,53,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andrij Shevchenko,ST,86,Ukraine,Icons,Icons,88,90,67,85,32,71,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Kluivert,ST,86,Netherlands,Icons,Icons,87,83,77,81,37,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul,CF,86,Spain,Icons,Icons,77,85,80,86,50,71,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hidetoshi Nakata,CAM,86,Japan,Icons,Icons,82,81,85,85,64,66,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pavel Nedved,LM,86,Czech Republic,Icons,Icons,90,82,84,87,46,77,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steven Gerrard,CDM,86,England,Icons,Icons,70,85,88,78,80,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Ballack,CM,86,Germany,Icons,Icons,72,86,86,78,80,83,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Carlos,LB,86,Brazil,Icons,Icons,92,80,79,81,81,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joshua Kimmich,RB,86,Germany,FC Bayern,Bundesliga,72,69,86,84,79,78,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leroy Sane,LW,86,Germany,Manchester City,EPL,95,81,79,86,38,70,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miralem Pjanic,CM,86,Bosnia & Herzegovina,Piemonte Calcio,Serie A,68,68,87,85,75,67,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alexandre Lacazette,ST,86,France,Arsenal,EPL,82,85,75,86,40,74,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roberto Firmino,CF,86,Brazil,Liverpool,EPL,77,82,80,87,61,78,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marquinhos,CB,86,Brazil,Paris,Ligue 1,74,41,73,71,86,77,,,,,,,3,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angel Di Maria,RW,86,Argentina,Paris,Ligue 1,84,79,84,87,48,68,,,,,,,2,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marco Verratti ,CM,86,Italy,Paris,Ligue 1,65,60,84,90,79,66,,,,,,,4,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gianluca Zambrotta,RWB,86,Italy,Icons,Icons,91,72,82,84,82,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,John Barnes,CAM,86,England,Icons,Icons,82,83,86,87,61,84,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daniel Parejo,CM,86,Spain,Valencia,La Liga Santander,41,80,88,79,70,69,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wojciech Szczesny,GK,86,Poland,Piemonte Calcio,Serie A,85,82,73,88,49,86,,,,,----------------------,----------------------,3,1,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Isco,CAM,86,Spain,Real Madrid,La Liga Santander,71,77,83,90,59,60,,,,,,,3,4,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ciro Immobile,ST,86,Italy,Lazio,Serie A,80,85,63,81,39,76,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippe Coutinho,LW,86,Brazil,FC Bayern,Bundesliga,79,80,84,90,52,64,,,,,,,4,5,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thomas Muller,CAM,86,Germany,FC Bayern,Bundesliga,72,83,79,78,55,71,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samuel Umtiti,CB,86,France,FC Barcelona,La Liga Santander,69,63,69,70,86,82,,,,,,,3,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milan Skriniar,CB,86,Slovakia,Inter,Serie A,69,41,59,66,87,82,,,,,,,4,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ivan Rakitic,CM,86,Croatia,FC Barcelona,La Liga Santander,62,81,86,81,74,70,,,,,,,4,3,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leonardo Bonucci,CB,86,Italy,Piemonte Calcio,Serie A,58,58,69,71,87,79,,,,,,,4,2,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peter Schmeichel,GK,86,Denmark,Icons,Icons,85,81,82,89,54,81,,,,,----------------------,----------------------,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carles Puyol,RB,86,Spain,Icons,Icons,76,45,68,58,88,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernando Hierro Ruiz,CB,86,Spain,Icons,Icons,75,65,73,71,87,82,,"6'2""",,Right,Medium,High,3,2,,Icon,23/03/1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruud Gullit,CM,86,Netherlands,Icons,Icons,80,80,86,82,83,78,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patrick Vieira,CM,86,France,Icons,Icons,81,75,80,79,86,89,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roy Keane,CM,86,Republic Of Ireland,Icons,Icons,66,70,81,77,88,87,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Lampard,CM,86,England,Icons,Icons,75,86,85,82,70,76,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marc Overmars,LW,86,Netherlands,Icons,Icons,88,78,79,87,48,65,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frank Rijkaard,CDM,86,Netherlands,Icons,Icons,70,67,77,75,86,81,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Sebastian Veron,CM,86,Argentina,Icons,Icons,70,80,85,81,74,79,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Michael Owen,ST,86,England,Icons,Icons,84,86,67,85,35,64,,,,,,,,,,Icon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
